lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,4,inference_categories,partial,0.625,-0.6287714530570593,0.351461509636492,0.2,-0.124269245181754,0.5074097905169939
0.1,0.5,0.0,5,choice_only,standard,0.715,-0.6814005614357996,0.36911987750407765,0.3,-0.015440061247961184,0.6549822086426517
0.1,0.5,0.0,5,choice_only,projected,0.795,-0.4760000023771274,0.42552471271818393,0.4,0.11276235635909199,0.6549822086426517
0.1,0.5,0.0,5,choice_only,partial,0.795,-0.4760000023771274,0.42552471271818393,0.4,0.11276235635909199,0.6549822086426517
0.1,0.5,0.0,5,inference_affirm,standard,0.75,-0.6820522970334818,0.4835885136738815,0.3,0.04179425683694074,0.6345630009579684
0.1,0.5,0.0,5,inference_affirm,projected,0.785,-0.4970459740520779,0.5043255854437736,0.4,0.15216279272188682,0.6345630009579684
0.1,0.5,0.0,5,inference_affirm,partial,0.785,-0.4970459740520779,0.5043255854437736,0.4,0.15216279272188682,0.6345630009579684
0.1,0.5,0.0,5,inference_categories,standard,0.745,-0.680658936258339,0.4354785071677321,0.3,0.01773925358386605,0.5139938678652662
0.1,0.5,0.0,5,inference_categories,projected,0.82,-0.47078190142027426,0.45787454467921546,0.3,0.028937272339607717,0.5139938678652662
0.1,0.5,0.0,5,inference_categories,partial,0.82,-0.47078190142027426,0.45787454467921546,0.3,0.028937272339607717,0.5139938678652662
0.1,0.5,0.0,6,choice_only,standard,0.6,-0.6889562858289736,0.3714547257943236,0.4,0.08572736289716182,0.6327680472488548
0.1,0.5,0.0,6,choice_only,projected,0.685,-0.5772599182488543,0.389098825269554,0.5,0.194549412634777,0.6327680472488548
0.1,0.5,0.0,6,choice_only,partial,0.685,-0.5772599182488543,0.389098825269554,0.5,0.194549412634777,0.6327680472488548
0.1,0.5,0.0,6,inference_affirm,standard,0.595,-0.6869407624030031,0.27023331301537046,0.4,0.03511665650768525,0.39404222330564154
0.1,0.5,0.0,6,inference_affirm,projected,0.65,-0.6226543244959954,0.29809241744994475,0.3,-0.05095379127502764,0.39404222330564154
0.1,0.5,0.0,6,inference_affirm,partial,0.65,-0.6226543244959954,0.29809241744994475,0.3,-0.05095379127502764,0.39404222330564154
0.1,0.5,0.0,6,inference_categories,standard,0.66,-0.6872756161273113,0.3705260889798379,0.4,0.08526304448991898,0.5411152093261912
0.1,0.5,0.0,6,inference_categories,projected,0.715,-0.5316266852600573,0.4364593028083303,0.4,0.11822965140416516,0.5411152093261912
0.1,0.5,0.0,6,inference_categories,partial,0.715,-0.5316266852600573,0.4364593028083303,0.4,0.11822965140416516,0.5411152093261912
0.1,0.5,0.0,7,choice_only,standard,0.66,-0.6879031243982443,0.4953451631568182,0.5,0.2476725815784091,0.5142653296868939
0.1,0.5,0.0,7,choice_only,projected,0.765,-0.5405587275902594,0.518175886726186,0.5,0.259087943363093,0.5142653296868939
0.1,0.5,0.0,7,choice_only,partial,0.765,-0.5405587275902594,0.518175886726186,0.5,0.259087943363093,0.5142653296868939
0.1,0.5,0.0,7,inference_affirm,standard,0.645,-0.6892046180284589,0.4786298119721025,0.6,0.33931490598605124,0.6786713550073621
0.1,0.5,0.0,7,inference_affirm,projected,0.745,-0.5756518923390629,0.5776988446034662,0.7,0.48884942230173306,0.6786713550073621
0.1,0.5,0.0,7,inference_affirm,partial,0.745,-0.5756518923390629,0.5776988446034662,0.7,0.48884942230173306,0.6786713550073621
0.1,0.5,0.0,7,inference_categories,standard,0.66,-0.6882829165610502,0.4480529500488421,0.6,0.32402647502442106,0.5711153675715858
0.1,0.5,0.0,7,inference_categories,projected,0.79,-0.5418078517130885,0.5626142593879911,0.6,0.38130712969399555,0.5711153675715858
0.1,0.5,0.0,7,inference_categories,partial,0.79,-0.5418078517130885,0.5626142593879911,0.6,0.38130712969399555,0.5711153675715858
0.1,0.5,0.0,8,choice_only,standard,0.695,-0.68425070046885,0.3103431384886433,0.4,0.05517156924432168,0.7507300552601447
0.1,0.5,0.0,8,choice_only,projected,0.68,-0.5829750489437511,0.3513470246620133,0.6,0.2756735123310066,0.7507300552601447
0.1,0.5,0.0,8,choice_only,partial,0.68,-0.5829750489437511,0.3513470246620133,0.6,0.2756735123310066,0.7507300552601447
0.1,0.5,0.0,8,inference_affirm,standard,0.67,-0.6835381114872539,0.4148628483423315,0.7,0.40743142417116573,0.6616933561177277
0.1,0.5,0.0,8,inference_affirm,projected,0.715,-0.5646743010657298,0.4832026586312814,0.8,0.5416013293156408,0.6616933561177277
0.1,0.5,0.0,8,inference_affirm,partial,0.715,-0.5646743010657298,0.4832026586312814,0.8,0.5416013293156408,0.6616933561177277
0.1,0.5,0.0,8,inference_categories,standard,0.665,-0.6847840475347331,0.4639067121967544,0.8,0.5319533560983772,0.5624839728952222
0.1,0.5,0.0,8,inference_categories,projected,0.725,-0.5612209488349494,0.5644064332099161,0.8,0.5822032166049581,0.5624839728952222
0.1,0.5,0.0,8,inference_categories,partial,0.725,-0.5612209488349494,0.5644064332099161,0.8,0.5822032166049581,0.5624839728952222
0.1,0.5,0.0,9,choice_only,standard,0.625,-0.6880403314303902,0.4863335968748174,0.2,-0.05683320156259128,0.6316182752527519
0.1,0.5,0.0,9,choice_only,projected,0.6,-0.630072051028649,0.5019998051775076,0.3,0.05099990258875381,0.6316182752527519
0.1,0.5,0.0,9,choice_only,partial,0.6,-0.630072051028649,0.5019998051775076,0.3,0.05099990258875381,0.6316182752527519
0.1,0.5,0.0,9,inference_affirm,standard,0.565,-0.6899701387804089,0.3868872311273057,0.2,-0.10655638443634713,0.5072366017404494
0.1,0.5,0.0,9,inference_affirm,projected,0.6,-0.6839051363746098,0.3984666024814681,0.2,-0.10076669875926594,0.5072366017404494
0.1,0.5,0.0,9,inference_affirm,partial,0.6,-0.6839051363746098,0.3984666024814681,0.2,-0.10076669875926594,0.5072366017404494
0.1,0.5,0.0,9,inference_categories,standard,0.635,-0.6891794099335781,0.20297956844355125,0.1,-0.2985102157782244,0.5
0.1,0.5,0.0,9,inference_categories,projected,0.65,-0.6205234522051319,0.20297956844355125,0.1,-0.2985102157782244,0.5
0.1,0.5,0.0,9,inference_categories,partial,0.65,-0.6205234522051319,0.20297956844355125,0.1,-0.2985102157782244,0.5
