user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
23,inference_affirm,20,0.7829515284430184,0.55,-0.6929702078946853,0.24607002807249062,0.2,1.0,-0.17696498596375468,0.45,-0.7479204059943909,0.5592500638011151,0.3,1.0,0.07962503190055753,0.5,-0.6995876884377487,0.5592500638011151,0.3,1.0,0.07962503190055753
23,inference_categories,20,0.978038332547847,0.65,-0.6912947605490214,-0.49959672366232943,0.1,1.0,-0.6497983618311647,0.4,-0.7505179725697553,0.32063670324597265,0.3,1.0,-0.039681648377013684,0.35,-0.7001860140119,0.6189034039399006,0.3,1.0,0.1094517019699503
24,choice_only,20,0.9202865940790026,0.75,-0.6862490075693846,-0.15569978883230462,0.1,1.0,-0.47784989441615233,0.7,-0.5071665327190595,0.6227991553292185,0.2,1.0,0.01139957766460925,0.7,-0.5071665327190595,0.6227991553292185,0.2,1.0,0.01139957766460925
24,inference_affirm,20,0.5485031771161134,0.6,-0.6906533081783921,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.9,-0.42496968674931496,0.6227991553292185,0.2,1.0,0.01139957766460925,0.9,-0.5598080920781758,0.6227991553292185,0.2,1.0,0.01139957766460925
24,inference_categories,20,0.9500858282408039,0.65,-0.6913096133566171,-0.07784989441615231,0.0,1.0,-0.5389249472080762,0.75,-0.5026609328075599,0.4670993664969138,0.2,1.0,-0.06645031675154309,0.75,-0.6031597048844894,0.7006490497453708,0.2,1.0,0.050324524872685406
25,choice_only,20,0.7953558104587776,0.75,-0.6876358001857363,0.39520337841945463,0.2,1.0,-0.10239831079027267,0.8,-0.5196259124185281,0.7382100842174719,0.3,1.0,0.16910504210873595,0.8,-0.5196259124185281,0.7382100842174719,0.3,1.0,0.16910504210873595
25,inference_affirm,20,0.9061607475658828,0.7,-0.6874813409998483,0.1565900178643122,0.1,1.0,-0.3217049910678439,0.7,-0.5162749426391998,0.49959672366232943,0.3,1.0,0.049798361831164706,0.75,-0.6503598159740976,0.6636434090439899,0.3,1.0,0.13182170452199493
25,inference_categories,20,0.756542576777971,0.45,-0.6939073208186867,0.39520337841945463,0.2,1.0,-0.10239831079027267,0.85,-0.44278292334444797,0.7978634243562575,0.3,1.0,0.19893171217812872,0.85,-0.6151088759931345,0.6487300740092935,0.3,1.0,0.12436503700464674
26,choice_only,20,0.669259239976007,0.65,-0.6910103940515848,0.6008540929590486,0.3,1.0,0.10042704647952427,0.7,-0.6518575468109937,0.6827887419989189,0.4,1.0,0.24139437099945948,0.7,-0.6518575468109937,0.6827887419989189,0.4,1.0,0.24139437099945948
26,inference_affirm,20,0.27769898343705146,0.8,-0.6859322077132841,0.6964445168388972,0.3,1.0,0.14822225841944858,0.75,-0.5308300923124791,0.43698479487930814,0.4,1.0,0.11849239743965409,0.7,-0.667902099203458,0.31408282131950266,0.3,1.0,-0.04295858934024868
26,inference_categories,20,0.3627840831275157,0.65,-0.686925733879431,0.5052636690792,0.3,1.0,0.052631834539599964,0.65,-0.640470680026216,0.2731154967995676,0.2,1.0,-0.1634422516002162,0.6,-0.68944416743449,0.2799433842195567,0.3,1.0,-0.06002830789022165
27,choice_only,20,0.7965709369864841,0.5,-0.6931942820326514,-0.051899929610768204,0.1,1.0,-0.4259499648053841,0.85,-0.3835779184745138,0.29409960112768646,0.2,1.0,-0.15295019943615676,0.85,-0.3835779184745138,0.29409960112768646,0.2,1.0,-0.15295019943615676
27,inference_affirm,20,0.7553077806586803,0.55,-0.6923126942547309,-0.03459995307384547,0.1,1.0,-0.41729997653692275,0.75,-0.5076951000001265,0.06054991787922956,0.1,1.0,-0.36972504106038523,0.8,-0.6400971869977206,0.21624970671153415,0.2,1.0,-0.1918751466442329
27,inference_categories,20,0.3680423738540983,0.6,-0.6907538387769337,0.5103493078392206,0.2,1.0,-0.04482534608038968,0.9,-0.348200603102055,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.9,-0.6054493103192258,0.29409960112768646,0.2,1.0,-0.15295019943615676
28,choice_only,20,0.6362790017655409,0.75,-0.6882926198787986,-0.17150335289900862,0.2,1.0,-0.3857516764495043,0.8,-0.38148625994257296,0.0521966726214374,0.2,1.0,-0.27390166368928126,0.8,-0.38148625994257296,0.0521966726214374,0.2,1.0,-0.27390166368928126
28,inference_affirm,20,0.6011158642150064,0.65,-0.6900461847021498,-0.24607002807249062,0.2,1.0,-0.4230350140362453,0.75,-0.5689011992500387,-0.21624335800309782,0.2,1.0,-0.4081216790015489,0.6,-0.6529853242802262,-0.08202334269083021,0.2,1.0,-0.3410116713454151
28,inference_categories,20,0.6011158642150064,0.6,-0.6911757687122465,0.007456667517348202,0.2,1.0,-0.2962716662413259,0.75,-0.46828776414024975,0.23115669303779424,0.2,1.0,-0.18442165348110287,0.75,-0.6210784906371256,0.17150335289900862,0.2,1.0,-0.21424832355049567
29,choice_only,20,0.15872460433366462,0.45,-0.693309075393435,0.6227991553292185,0.2,1.0,0.01139957766460925,0.7,-0.5650733711863171,0.15569978883230462,0.1,1.0,-0.3221501055838477,0.7,-0.5650733711863171,0.15569978883230462,0.1,1.0,-0.3221501055838477
29,inference_affirm,20,0.7627377902724242,0.7,-0.68914621156148,-0.07784989441615231,0.1,1.0,-0.4389249472080762,0.6,-0.7494707135807684,0.5449492609130662,0.1,1.0,-0.12752536954346694,0.6,-0.6978630654246956,0.3892494720807615,0.1,1.0,-0.20537526395961928
29,inference_categories,20,0.2038548735653832,0.7,-0.6911496981577836,0.6227991553292185,0.2,1.0,0.01139957766460925,0.8,-0.4372235111620976,0.2335496832484569,0.2,1.0,-0.18322515837577152,0.85,-0.6274666247174492,0.07784989441615231,0.2,1.0,-0.26107505279192383
30,choice_only,20,0.956389483110207,0.7,-0.6849974822213382,-0.3057233682112762,0.1,1.0,-0.5528616841056382,0.7,-0.5557012807786054,0.5294233937317223,0.3,1.0,0.06471169686586115,0.7,-0.5557012807786054,0.5294233937317223,0.3,1.0,0.06471169686586115
30,inference_affirm,20,0.8129611202145672,0.9,-0.6843180134708295,0.1267633477949194,0.1,1.0,-0.33661832610254033,0.75,-0.6252958926396331,0.5145100586970258,0.2,1.0,-0.04274497065148708,0.8,-0.6234146983559021,0.5145100586970258,0.2,1.0,-0.04274497065148708
30,inference_categories,20,0.8798841443060298,0.8,-0.6862230643268328,-0.08202334269083021,0.1,1.0,-0.44101167134541513,0.7,-0.5573445602577859,0.6636434090439899,0.3,1.0,0.13182170452199493,0.65,-0.6229936851117265,0.5145100586970258,0.2,1.0,-0.04274497065148708
31,choice_only,20,0.8412753956663355,0.8,-0.6855125883651928,-0.07784989441615231,0.1,1.0,-0.4389249472080762,0.65,-0.5457926560561706,0.3892494720807615,0.2,1.0,-0.10537526395961924,0.65,-0.5457926560561706,0.3892494720807615,0.2,1.0,-0.10537526395961924
