user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
19,inference_categories,20,0.20040054771796467,0.705,-0.6859410851735513,0.556779314565659,0.5,0.7,0.2783896572828295,0.695,-0.589124433621178,0.478454250217596,0.5,0.7,0.239227125108798,0.555,-0.7197367530501176,0.4032621884434556,0.3,0.5,0.0016310942217278024
20,choice_only,20,0.6739859482052416,0.505,-0.691106938161295,0.4142145561871006,0.6,0.4,0.3071072780935503,0.62,-0.7011285339034937,0.5047220674799514,0.7,0.5,0.45236103373997566,0.62,-0.7011285339034937,0.5047220674799514,0.7,0.5,0.45236103373997566
20,inference_affirm,20,0.36872011469799354,0.565,-0.6907481015274999,0.4965682376337487,0.7,0.5,0.4482841188168743,0.705,-0.6105788676471602,0.4986066950952993,0.7,0.5,0.4493033475476496,0.665,-0.6088675626471235,0.4814836524182735,0.6,0.4,0.34074182620913673
20,inference_categories,20,0.7058008450891408,0.545,-0.6915913062633929,0.4113607157409297,0.5,0.3,0.20568035787046485,0.7,-0.6214578020410173,0.4810759609259634,0.6,0.5,0.34053798046298167,0.71,-0.5488324360556506,0.5613911849110607,0.6,0.5,0.3806955924555303
21,choice_only,20,0.696103949797182,0.56,-0.6914248646038368,0.258097803313213,0.1,0.4,-0.2709510983433935,0.535,-0.7279814367560689,0.3896231231252768,0.2,0.3,-0.10518843843736159,0.535,-0.7279814367560689,0.3896231231252768,0.2,0.3,-0.10518843843736159
21,inference_affirm,20,0.7317536930626367,0.525,-0.6929607454343687,0.3422960205987601,0.2,0.6,-0.12885198970061995,0.63,-0.6791796961655012,0.36761051729898997,0.2,0.4,-0.116194741350505,0.615,-0.6318019955480269,0.5437113639092847,0.3,0.6,0.07185568195464231
21,inference_categories,20,0.6529599570312185,0.49,-0.693522305270906,0.2977204938005293,0.1,0.4,-0.25113975309973535,0.55,-0.7805985073214978,0.28396261515910004,0.2,0.4,-0.15801869242044997,0.555,-0.7303819274048476,0.3505507477836177,0.2,0.4,-0.12472462610819113
22,choice_only,20,0.5843758300552642,0.755,-0.6827471652958783,0.4522853118318628,0.7,0.6,0.42614265591593137,0.87,-0.4288136237193574,0.5885904743017393,0.7,0.6,0.4942952371508696,0.87,-0.4288136237193574,0.5885904743017393,0.7,0.6,0.4942952371508696
22,inference_affirm,20,0.6328659328067245,0.735,-0.6838353438876662,0.5320548103227565,0.7,0.5,0.4660274051613782,0.81,-0.4271734584483373,0.580071401647372,0.8,0.5,0.5900357008236861,0.715,-0.5586954364446496,0.549867416781888,0.8,0.4,0.574933708390944
22,inference_categories,20,0.8364644897911471,0.73,-0.6843109998102191,0.3992347230296666,0.5,0.5,0.1996173615148333,0.855,-0.4386445914858122,0.5347654243491461,0.7,0.7,0.467382712174573,0.78,-0.4893509573234736,0.6520962886342953,0.7,0.6,0.5260481443171476
23,choice_only,20,0.5282868596614171,0.73,-0.6800851198173848,0.2865491390635972,0.5,0.4,0.1432745695317986,0.755,-0.5219966854948732,0.3318564925355113,0.5,0.5,0.16592824626775565,0.755,-0.5219966854948732,0.3318564925355113,0.5,0.5,0.16592824626775565
23,inference_affirm,20,0.8049155104457675,0.74,-0.6813702711832906,0.3485486753935849,0.5,0.4,0.17427433769679246,0.74,-0.5324477358210764,0.34656151076762376,0.6,0.4,0.27328075538381186,0.755,-0.49321702575343823,0.5154705039743211,0.7,0.5,0.45773525198716053
23,inference_categories,20,0.7855107788618505,0.705,-0.6849443738205706,0.46976571757721486,0.4,0.3,0.13488285878860745,0.58,-0.6915936251341733,0.3195360718545522,0.4,0.3,0.059768035927276114,0.72,-0.6028133733765156,0.5889955951348836,0.6,0.4,0.3944977975674418
24,choice_only,20,0.4853496605219348,0.54,-0.6923113197940536,0.23881463178783194,0.3,0.3,-0.08059268410608404,0.57,-0.7436298107788937,0.21536737703048117,0.3,0.4,-0.09231631148475943,0.57,-0.7436298107788937,0.21536737703048117,0.3,0.4,-0.09231631148475943
24,inference_affirm,20,0.6125609459745157,0.535,-0.692043848417542,0.15370978118707732,0.3,0.4,-0.12314510940646135,0.55,-0.7313443762972932,0.21623579387334602,0.3,0.3,-0.091882103063327,0.66,-0.6451835141302098,0.3369457350315592,0.3,0.3,-0.0315271324842204
24,inference_categories,20,0.8609838069599755,0.635,-0.6890923811891263,0.4394189224896108,0.3,0.3,0.019709461244805382,0.655,-0.6164368059397657,0.4472346740753944,0.4,0.4,0.12361733703769723,0.715,-0.5691917217405353,0.5688130320764725,0.6,0.6,0.3844065160382362
25,choice_only,20,0.7693743025728574,0.595,-0.6886618254525427,0.3977487828929259,0.3,0.4,-0.0011256085535370497,0.705,-0.5650240107644593,0.4796614035283009,0.5,0.5,0.23983070176415044,0.705,-0.5650240107644593,0.4796614035283009,0.5,0.5,0.23983070176415044
