persona_id,condition,fit_type,n_trials,test_acc,test_ll
1,choice_only,projected,5,0.72,-0.6506272898126544
1,choice_only,partial,5,0.72,-0.6506272898126544
1,choice_only,standard,6,0.76,-0.692652427015528
1,choice_only,projected,6,0.72,-0.6434241965835688
1,choice_only,partial,6,0.72,-0.6434241965835688
1,choice_only,standard,7,0.74,-0.6926826247323362
1,choice_only,projected,7,0.72,-0.6458531143187324
1,choice_only,partial,7,0.72,-0.6458531143187324
1,choice_only,standard,8,0.76,-0.6925766254252427
1,choice_only,projected,8,0.74,-0.6391490074648922
1,choice_only,partial,8,0.74,-0.6391490074648922
1,choice_only,standard,9,0.78,-0.6925006138679889
1,choice_only,projected,9,0.72,-0.633603059174852
1,choice_only,partial,9,0.72,-0.633603059174852
1,choice_only,standard,10,0.76,-0.6925158003388452
1,choice_only,projected,10,0.74,-0.636079715468319
1,choice_only,partial,10,0.74,-0.636079715468319
1,choice_only,standard,11,0.78,-0.692420027477491
1,choice_only,projected,11,0.76,-0.6294340227930632
1,choice_only,partial,11,0.76,-0.6294340227930632
1,choice_only,standard,12,0.8,-0.692384117432421
1,choice_only,projected,12,0.76,-0.630209774700068
1,choice_only,partial,12,0.76,-0.630209774700068
1,choice_only,standard,13,0.78,-0.692386866278884
1,choice_only,projected,13,0.8,-0.6267564378153812
1,choice_only,partial,13,0.8,-0.6267564378153812
1,choice_only,standard,14,0.76,-0.6922380529552022
1,choice_only,projected,14,0.78,-0.619315406153635
1,choice_only,partial,14,0.78,-0.619315406153635
1,choice_only,standard,15,0.78,-0.6923107577150074
1,choice_only,projected,15,0.78,-0.6240502873287186
1,choice_only,partial,15,0.78,-0.6240502873287186
1,choice_only,standard,16,0.8,-0.6920777454038383
1,choice_only,projected,16,0.78,-0.6182167665601098
1,choice_only,partial,16,0.78,-0.6182167665601098
1,choice_only,standard,17,0.74,-0.6920341588942982
1,choice_only,projected,17,0.78,-0.6117342996547369
1,choice_only,partial,17,0.78,-0.6117342996547369
1,choice_only,standard,18,0.78,-0.6920147254629971
1,choice_only,projected,18,0.76,-0.6115365718319192
1,choice_only,partial,18,0.76,-0.6115365718319192
1,choice_only,standard,19,0.8,-0.6921839872728736
1,choice_only,projected,19,0.76,-0.624799596720494
1,choice_only,partial,19,0.76,-0.624799596720494
1,choice_only,standard,20,0.82,-0.6920524740708374
1,choice_only,projected,20,0.76,-0.6193687656054763
1,choice_only,partial,20,0.76,-0.6193687656054763
